time,size_sent,size_rcv 
0,13.20390625,52.184375 
10,63.29296875,413.1875 
20,100.9703125,1051.06953125 
30,110.540625,1160.1140625 
40,119.6265625,1213.690625 
50,197.98203125,1919.37578125 
60,297.8015625,3199.1703125 
70,331.84921875,4114.30234375 
80,336.31328125,4174.44921875 
90,355.00234375,4290.3734375 
100,541.17421875,5846.346875 
110,712.21796875,8365.2171875 
120,773.734375,9548.1421875 
130,783.4796875,9878.840625 
140,933.90625,10813.25859375 
150,1355.065625,15085.49453125 
160,1607.96015625,19475.2734375 
170,1665.1796875,20649.0625 
180,1678.51484375,20832.903125 
190,1738.1890625,21202.65703125 
200,2429.13515625,26609.00234375 
210,3165.3109375,38662.62265625 
220,3412.71796875,44760.84453125 
230,3453.28671875,45955.396875 
240,3459.5703125,46014.13203125 
250,3459.5703125,46014.13203125 
260,3561.778125,46685.06328125 
270,4752.9640625,56534.12890625 
280,6249.45703125,77907.31640625 
290,6806.06484375,98953.934375 
300,6919.55703125,102206.08828125 
310,6927.27421875,102306.10859375 
320,6928.49140625,102309.696875 
322,6928.49140625,102309.696875 
