time,users_count,finish_users_count 
0,20,0 
10,30,11 
20,30,24 
30,30,28 
40,49,30 
50,87,44 
60,90,72 
70,90,85 
80,113,90 
90,189,96 
100,210,148 
110,210,196 
120,210,209 
130,210,210 
140,341,212 
150,446,280 
160,446,403 
170,446,434 
180,446,446 
190,703,448 
200,884,577 
210,884,775 
220,884,871 
230,884,884 
240,1360,887 
250,1773,1128 
260,1773,1554 
270,1773,1746 
280,1773,1772 
290,2135,1773 
300,3371,1911 
310,3629,2728 
320,3629,3437 
330,3629,3616 
340,3629,3628 
350,3629,3629 
360,3629,3629 
370,5525,3646 
380,7273,3970 
390,7273,4970 
400,7273,6315 
410,7273,7014 
420,7273,7241 
430,7273,7270 
438,7273,7273 
