time,sentpackets@tsung_controller@ip-172-31-19-117 
10,291 
20,393 
30,393 
40,393 
50,393 
60,884 
70,884 
80,884 
90,884 
100,1523 
110,1665 
120,1665 
130,1665 
140,1665 
150,1863 
160,3937 
170,3937 
180,3937 
190,3937 
200,4032 
210,7150 
220,7150 
230,7150 
240,7150 
250,8306 
260,15057 
270,15057 
280,15057 
290,15057 
300,15057 
310,28210 
320,31577 
330,31577 
340,31577 
350,31577 
360,31577 
370,31577 
380,31577 
390,50181 
400,50181 
410,50181 
420,50181 
430,50181 
438,50181 
