time,users,connected 
0,20,20 
10,26,1 
20,26,-14 
30,26,-5 
40,26,13 
50,48,29 
60,48,-26 
70,48,-13 
80,48,16 
90,94,71 
100,106,-27 
110,106,-50 
120,106,-14 
130,106,-1 
140,129,125 
150,208,42 
160,208,-123 
170,208,-32 
180,208,-12 
190,255,252 
200,378,57 
210,378,-197 
220,378,-99 
230,378,-13 
240,473,438 
250,757,240 
260,757,-449 
270,757,-199 
280,757,-29 
290,757,306 
300,1460,1102 
310,1592,-475 
320,1592,-730 
330,1592,-185 
340,1592,-18 
350,1592,-1 
360,1592,0 
370,1879,1822 
380,3436,1016 
390,3436,-522 
400,3436,-1355 
410,3436,-695 
420,3436,-232 
430,3436,-31 
438,3436,-3 
