time,recvpackets@tsung_controller@ip-172-31-19-117 
10,426 
20,837 
30,1129 
40,1129 
50,1129 
60,1824 
70,2042 
80,2042 
90,2042 
100,2810 
110,5234 
120,5234 
130,5234 
140,5234 
150,5234 
160,10050 
170,10050 
180,10050 
190,10050 
200,10050 
210,18633 
220,18633 
230,18633 
240,18633 
250,18633 
260,36252 
270,36252 
280,36252 
290,36252 
300,36252 
310,52394 
320,87144 
330,87144 
340,87144 
350,87144 
360,87144 
370,87144 
380,87144 
390,94440 
400,140918 
410,140918 
420,140918 
430,140918 
438,140918 
