time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Redirect_Root 
0,141.573,9.844,6.745,6.893,8.945 
10,140.631,8.018,6.107,6.233,8.945 
20,140.631,8.018,6.107,6.233,8.945 
30,135.751,8.018,6.107,6.233,8.945 
31,135.751,8.018,6.107,6.233,8.945 
