time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Redirect_Root 
0,202.94933333333333,37.963249999999995,62.51115384615385,8.366666666666667,11.329333333333333 
10,148.7575,8.13,47.794857142857154,6.311,9.057 
20,0,0,7.7,6.353,9.298 
30,135.751,0,72.4085,0,9.372 
31,0,0,0,0,0 
