time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Redirect_Root 
0,321.354,90.783,321.149,10.099,13.346 
10,321.354,90.783,321.149,10.099,13.346 
20,321.354,90.783,321.149,10.099,13.346 
30,321.354,90.783,321.149,10.099,13.346 
31,321.354,90.783,321.149,10.099,13.346 
