time,request,connect 
0,96.67124489795921,31.250999999999994 
10,102.67770422535214,1.17925 
20,224.56502941176473,0 
30,28.792600000000004,0 
40,55.377847826086985,1.25975 
50,86.83383663366342,7.8799393939393925 
60,140.1942638888889,24.5522 
70,200.34576,0 
80,119.5731111111111,0 
90,61.68874782608698,1.0952941176470592 
100,118.18151239669422,2.74096153846154 
110,182.52097916666665,0 
120,127.604119402985,0 
130,251.00233333333335,0 
140,73.49238799076213,0.960299270072993 
150,114.38525922330085,1.9770194174757276 
160,229.3018524590162,0 
170,223.58552777777783,0 
180,87.30380000000001,0 
190,79.53364864864864,2.0297079646017693 
200,108.52281654436308,2.111173469387756 
210,200.07525284601556,2.154978723404256 
220,246.5298214285716,0 
230,139.94609722222225,0 
240,30.34971428571429,0 
250,26.560166666666664,0 
260,118.03235034965033,1.9691650671785046 
270,237.9045926315789,1.7378177676537578 
280,684.0325931525124,0 
290,736.9680665938864,0 
300,226.47119685039374,0 
310,65.76885714285713,0 
312,0,0 
