time,tr_Post_Register,tr_Get_Root,page,tr_Post_Login,tr_Get_Register,tr_Get_Logout,tr_Redirect_Root,tr_Get_Login 
0,140.712,6.193,5.611,132.289,5.757,6.265,6.279,6.042 
10,125.032,6.119,5.394,129.696,5.757,5.952,6.134,5.522 
20,125.032,6.119,5.394,122.437,5.757,5.952,6.134,5.522 
30,125.032,6.119,5.394,122.437,5.757,5.952,6.134,5.522 
